experiment_id,cc,bw_mbps,rtt_ms,queue_pkts,declared_duration_s,t_submit_epoch,t_finish_epoch,wall_s,status
wget_10_10_85_pfifo_reno_cb24c6fd,reno,10,85,128,60,1783506374.778797093,1783506551.855410178,177.076613085,complete
wget_10_10_85_pfifo_cubic_bf52af9e,cubic,10,85,128,60,1783506552.451462706,1783506734.523237573,182.071774867,complete
wget_10_10_85_pfifo_bbr_f0185bf3,bbr,10,85,128,60,1783506735.023961141,1783506912.009908001,176.985946860,complete
wget_10_10_85_pfifo_bic_7d5e3778,bic,10,85,128,60,1783506912.530766600,1783507094.652310933,182.121544333,complete
wget_10_10_85_pfifo_cdg_8ec69560,cdg,10,85,128,60,1783507095.235752144,1783507262.145371412,166.909619268,complete
wget_10_10_85_pfifo_highspeed_686aab74,highspeed,10,85,128,60,1783507262.666460268,1783507454.790475282,192.124015014,complete
wget_10_10_85_pfifo_htcp_bd4ebb90,htcp,10,85,128,60,1783507455.290812244,1783507632.148456384,176.857644140,complete
wget_10_10_85_pfifo_hybla_776d6b85,hybla,10,85,128,60,1783507632.722476623,1783507814.699511033,181.977034410,complete
wget_10_10_85_pfifo_illinois_99c28ac4,illinois,10,85,128,60,1783507815.246934190,1783507992.287308652,177.040374462,complete
wget_10_10_85_pfifo_nv_58e1fa01,nv,10,85,128,60,1783507992.803322313,1783508174.768806503,181.965484190,complete
wget_10_10_85_pfifo_scalable_ca5c7c79,scalable,10,85,128,60,1783508175.352053854,1783508352.307822341,176.955768487,complete
wget_10_10_85_pfifo_vegas_35778c55,vegas,10,85,128,60,1783508352.814506823,1783508534.857672195,182.043165372,complete
wget_10_10_85_pfifo_veno_f225326f,veno,10,85,128,60,1783508535.379378676,1783508712.436073315,177.056694639,complete
wget_10_10_85_pfifo_westwood_9a48c71f,westwood,10,85,128,60,1783508713.024568513,1783508890.047069503,177.022500990,complete
wget_10_10_85_pfifo_yeah_69728223,yeah,10,85,128,60,1783508890.655318996,1783509072.795169524,182.139850528,complete
wget_10_10_130_pfifo_reno_e921c88e,reno,10,130,128,60,1783509073.322344628,1783509250.309375080,176.987030452,complete
wget_10_10_130_pfifo_cubic_43f9bef8,cubic,10,130,128,60,1783509250.886310145,1783509432.935035961,182.048725816,complete
wget_10_10_130_pfifo_bbr_69093634,bbr,10,130,128,60,1783509433.460794752,1783509610.416301847,176.955507095,complete
wget_10_10_130_pfifo_bic_feaac8c9,bic,10,130,128,60,1783509610.984076550,1783509793.059392799,182.075316249,complete
wget_10_10_130_pfifo_cdg_8a66ecbf,cdg,10,130,128,60,1783509793.540047663,1783509960.475816608,166.935768945,complete
wget_10_10_130_pfifo_highspeed_b2779504,highspeed,10,130,128,60,1783509960.937794909,1783510153.053115436,192.115320527,complete
wget_10_10_130_pfifo_htcp_eb5e9df2,htcp,10,130,128,60,1783510153.640046339,1783510330.651506592,177.011460253,complete
wget_10_10_130_pfifo_hybla_09c4f5b7,hybla,10,130,128,60,1783510331.158965068,1783510513.104462935,181.945497867,complete
wget_10_10_130_pfifo_illinois_86535781,illinois,10,130,128,60,1783510513.545431940,1783510690.405532494,176.860100554,complete
wget_10_10_130_pfifo_nv_9c41f04d,nv,10,130,128,60,1783510690.959875479,1783510872.931882539,181.972007060,complete
wget_10_10_130_pfifo_scalable_bf1d5c0f,scalable,10,130,128,60,1783510873.506151386,1783511050.479134267,176.972982881,complete
wget_10_10_130_pfifo_vegas_1156c4ed,vegas,10,130,128,60,1783511050.962178974,1783511233.100364443,182.138185469,complete
wget_10_10_130_pfifo_veno_94d29f98,veno,10,130,128,60,1783511233.694320815,1783511410.719093900,177.024773085,complete
wget_10_10_130_pfifo_westwood_525c1c9f,westwood,10,130,128,60,1783511411.307007390,1783511588.280830507,176.973823117,complete
wget_10_10_130_pfifo_yeah_202e17bb,yeah,10,130,128,60,1783511588.767373226,1783511770.832145773,182.064772547,complete
wget_10_10_275_pfifo_reno_e95ddc1b,reno,10,275,256,60,1783511771.346531367,1783511953.299387252,181.952855885,complete
wget_10_10_275_pfifo_cubic_99bfae7b,cubic,10,275,256,60,1783511953.774551117,1783512130.802329496,177.027778379,complete
wget_10_10_275_pfifo_bbr_e0330595,bbr,10,275,256,60,1783512131.373276320,1783512308.380284279,177.007007959,complete
wget_10_10_275_pfifo_bic_099cd051,bic,10,275,256,60,1783512308.901096607,1783512491.009115809,182.108019202,complete
wget_10_10_275_pfifo_cdg_f56bf413,cdg,10,275,256,60,1783512491.573120616,1783512638.292490259,146.719369643,complete
wget_10_10_275_pfifo_highspeed_dfe2b32b,highspeed,10,275,256,60,1783512638.685785196,1783512790.319042790,151.633257594,complete
wget_10_10_275_pfifo_htcp_47b36561,htcp,10,275,256,60,1783512790.802787558,1783512972.759274178,181.956486620,complete
wget_10_10_275_pfifo_hybla_4794ebc7,hybla,10,275,256,60,1783512973.230314847,1783513150.367437003,177.137122156,complete
wget_10_10_275_pfifo_illinois_03369223,illinois,10,275,256,60,1783513150.934139781,1783513332.943930111,182.009790330,complete
wget_10_10_275_pfifo_nv_ec844607,nv,10,275,256,60,1783513333.457591084,1783513495.356274420,161.898683336,complete
wget_10_10_275_pfifo_scalable_b54f80ce,scalable,10,275,256,60,1783513495.763106529,1783513693.010043649,197.246937120,complete
wget_10_10_275_pfifo_vegas_a053c8e9,vegas,10,275,256,60,1783513693.552055747,1783513870.635055904,177.083000157,complete
wget_10_10_275_pfifo_veno_c9a4feb6,veno,10,275,256,60,1783513871.123537346,1783514053.206885407,182.083348061,complete
wget_10_10_275_pfifo_westwood_2f6946f9,westwood,10,275,256,60,1783514053.707220379,1783514210.483214457,156.775994078,complete
wget_10_10_275_pfifo_yeah_d3a2853e,yeah,10,275,256,60,1783514210.922977284,1783514352.456721267,141.533743983,complete
wget_15_15_85_pfifo_reno_481687a2,reno,15,85,256,60,1783514352.950682370,1783514529.962989292,177.012306922,complete
wget_15_15_85_pfifo_cubic_80ad33b7,cubic,15,85,256,60,1783514530.627922776,1783514712.630311971,182.002389195,complete
wget_15_15_85_pfifo_bbr_255096c2,bbr,15,85,256,60,1783514713.330476895,1783514890.345604299,177.015127404,complete
wget_15_15_85_pfifo_bic_5c1f587f,bic,15,85,256,60,1783514890.980120722,1783515072.921052780,181.940932058,complete
wget_15_15_85_pfifo_cdg_11a4904a,cdg,15,85,256,60,1783515073.613937255,1783515240.510445906,166.896508651,complete
wget_15_15_85_pfifo_highspeed_bf9a3115,highspeed,15,85,256,60,1783515241.114760334,1783515433.285546577,192.170786243,complete
wget_15_15_85_pfifo_htcp_b1f2eef2,htcp,15,85,256,60,1783515433.921507432,1783515610.819341743,176.897834311,complete
wget_15_15_85_pfifo_hybla_65213119,hybla,15,85,256,60,1783515611.416463831,1783515793.482312303,182.065848472,complete
wget_15_15_85_pfifo_illinois_3e63835e,illinois,15,85,256,60,1783515794.108692009,1783515971.057879174,176.949187165,complete
wget_15_15_85_pfifo_nv_607f12c5,nv,15,85,256,60,1783515971.605728286,1783516153.630237815,182.024509529,complete
wget_15_15_85_pfifo_scalable_245d6b37,scalable,15,85,256,60,1783516154.323414357,1783516331.230916232,176.907501875,complete
wget_15_15_85_pfifo_vegas_f8f4ae83,vegas,15,85,256,60,1783516331.845892228,1783516513.801999539,181.956107311,complete
wget_15_15_85_pfifo_veno_9aac588e,veno,15,85,256,60,1783516514.387044603,1783516691.408694933,177.021650330,complete
wget_15_15_85_pfifo_westwood_606e8799,westwood,15,85,256,60,1783516692.095837269,1783516869.044598289,176.948761020,complete
wget_15_15_85_pfifo_yeah_afb045a4,yeah,15,85,256,60,1783516869.712825998,1783517051.544684650,181.831858652,complete
wget_15_15_130_pfifo_reno_b5682357,reno,15,130,256,60,1783517052.185868818,1783517229.131446325,176.945577507,complete
wget_15_15_130_pfifo_cubic_997c5ebe,cubic,15,130,256,60,1783517229.771555227,1783517411.906209418,182.134654191,complete
wget_15_15_130_pfifo_bbr_93ca8913,bbr,15,130,256,60,1783517412.512084154,1783517589.511385920,176.999301766,complete
wget_15_15_130_pfifo_bic_9a8795ad,bic,15,130,256,60,1783517590.161502041,1783517772.280956783,182.119454742,complete
wget_15_15_130_pfifo_cdg_4e9a3c21,cdg,15,130,256,60,1783517772.913175162,1783517934.881473869,161.968298707,complete
wget_15_15_130_pfifo_highspeed_976ca752,highspeed,15,130,256,60,1783517935.362440115,1783518132.543952063,197.181511948,complete
wget_15_15_130_pfifo_htcp_251cdeb3,htcp,15,130,256,60,1783518133.150204759,1783518310.139593967,176.989389208,complete
wget_15_15_130_pfifo_hybla_9161bdc9,hybla,15,130,256,60,1783518310.762138867,1783518492.734493066,181.972354199,complete
wget_15_15_130_pfifo_illinois_23b73771,illinois,15,130,256,60,1783518493.401754566,1783518670.488170125,177.086415559,complete
wget_15_15_130_pfifo_nv_4c451b53,nv,15,130,256,60,1783518671.162486739,1783518848.107682759,176.945196020,complete
wget_15_15_130_pfifo_scalable_f43b6cd2,scalable,15,130,256,60,1783518848.709938867,1783519030.702655753,181.992716886,complete
wget_15_15_130_pfifo_vegas_cc0da58f,vegas,15,130,256,60,1783519031.317419759,1783519213.443851536,182.126431777,complete
wget_15_15_130_pfifo_veno_7f675e3e,veno,15,130,256,60,1783519214.062342686,1783519391.074326324,177.011983638,complete
wget_15_15_130_pfifo_westwood_ccaff111,westwood,15,130,256,60,1783519391.690934665,1783519568.775303574,177.084368909,complete
wget_15_15_130_pfifo_yeah_22dfedba,yeah,15,130,256,60,1783519569.427313454,1783519751.455608305,182.028294851,complete
wget_15_15_275_pfifo_reno_1b3108b7,reno,15,275,512,60,1783519752.154981814,1783519929.188195583,177.033213769,complete
wget_15_15_275_pfifo_cubic_3abaac76,cubic,15,275,512,60,1783519929.822927193,1783520106.721516200,176.898589007,complete
wget_15_15_275_pfifo_bbr_0eb36129,bbr,15,275,512,60,1783520107.336483379,1783520289.364716094,182.028232715,complete
wget_15_15_275_pfifo_bic_571f57dc,bic,15,275,512,60,1783520289.990229775,1783520466.965666223,176.975436448,complete
wget_15_15_275_pfifo_cdg_0a875334,cdg,15,275,512,60,1783520467.632081233,1783520604.155441446,136.523360213,complete
wget_15_15_275_pfifo_highspeed_0f55e5fd,highspeed,15,275,512,60,1783520604.523834682,1783520766.280958615,161.757123933,complete
wget_15_15_275_pfifo_htcp_77fd1a6d,htcp,15,275,512,60,1783520766.966833925,1783520949.055430920,182.088596995,complete
wget_15_15_275_pfifo_hybla_526b11f7,hybla,15,275,512,60,1783520949.714659092,1783521126.795193178,177.080534086,complete
wget_15_15_275_pfifo_illinois_f2d701de,illinois,15,275,512,60,1783521127.444071027,1783521309.494192749,182.050121722,complete
wget_15_15_275_pfifo_nv_2f737bc0,nv,15,275,512,60,1783521310.114168760,1783521461.935361507,151.821192747,complete
wget_15_15_275_pfifo_scalable_4528da6e,scalable,15,275,512,60,1783521462.398403154,1783521609.012764488,146.614361334,complete
wget_15_15_275_pfifo_vegas_0f96beef,vegas,15,275,512,60,1783521609.696131556,1783521791.720575063,182.024443507,complete
wget_15_15_275_pfifo_veno_59a990fa,veno,15,275,512,60,1783521792.354879986,1783521969.337605555,176.982725569,complete
wget_15_15_275_pfifo_westwood_ea4b8561,westwood,15,275,512,60,1783521970.059276949,1783522147.077124074,177.017847125,complete
wget_15_15_275_pfifo_yeah_a30676f6,yeah,15,275,512,60,1783522147.695247895,1783522329.809352445,182.114104550,complete
wget_5_5_275_pfifo_reno_9bd1a159,reno,5,275,32,60,1783522330.449659464,1783522512.475975757,182.026316293,complete
wget_5_5_275_pfifo_cubic_2a371635,cubic,5,275,32,60,1783522512.891798135,1783522694.947174835,182.055376700,complete
wget_5_5_275_pfifo_bbr_b0352d81,bbr,5,275,32,60,1783522695.329804774,1783522872.309877148,176.980072374,complete
wget_5_5_275_pfifo_bic_7da522d7,bic,5,275,32,60,1783522872.699520115,1783523054.763221504,182.063701389,complete
wget_5_5_275_pfifo_cdg_4cde89df,cdg,5,275,32,60,1783523055.157833099,1783523206.927604464,151.769771365,complete
wget_5_5_275_pfifo_highspeed_0aefc09c,highspeed,5,275,32,60,1783523207.271372295,1783523348.846375234,141.575002939,complete
wget_5_5_275_pfifo_htcp_0b80a91b,htcp,5,275,32,60,1783523349.244501774,1783523531.179591517,181.935089743,complete
wget_5_5_275_pfifo_hybla_34f0831a,hybla,5,275,32,60,1783523531.505986831,1783523713.580190672,182.074203841,complete
wget_5_5_275_pfifo_illinois_60f26095,illinois,5,275,32,60,1783523713.954333324,1783523895.902892208,181.948558884,complete
wget_5_5_275_pfifo_nv_1586df8b,nv,5,275,32,60,1783523896.300244447,1783524073.362907866,177.062663419,complete
wget_5_5_275_pfifo_scalable_372363e6,scalable,5,275,32,60,1783524073.762054945,1783524255.811345410,182.049290465,complete
wget_5_5_275_pfifo_vegas_70aa5be1,vegas,5,275,32,60,1783524256.215240089,1783524433.238594797,177.023354708,complete
wget_5_5_275_pfifo_veno_2fb0d1ca,veno,5,275,32,60,1783524433.662197244,1783524610.630653581,176.968456337,complete
wget_5_5_275_pfifo_westwood_09c629fa,westwood,5,275,32,60,1783524611.017698614,1783524782.871268709,171.853570095,complete
wget_5_5_275_pfifo_yeah_c7d9da36,yeah,5,275,32,60,1783524783.212122702,1783524965.270006445,182.057883743,complete
wget_5_5_275_pfifo_reno_a9f012a9,reno,5,275,512,60,1783524965.649999215,1783525152.831101209,187.181101994,complete
