cc,bw_mbps,rtt_ms,queue_pkts,exec_time_submit_to_data_s,intent_duration_s,status,experiment_id,orchestration_overhead_s
highspeed,10,275,256,151.63,60,complete,wget_10_10_275_pfifo_highspeed_dfe2b32b,91.63
htcp,10,275,256,181.96,60,complete,wget_10_10_275_pfifo_htcp_47b36561,121.96
hybla,10,275,256,177.14,60,complete,wget_10_10_275_pfifo_hybla_4794ebc7,117.14
illinois,10,275,256,182.01,60,complete,wget_10_10_275_pfifo_illinois_03369223,122.01
nv,10,275,256,161.9,60,complete,wget_10_10_275_pfifo_nv_ec844607,101.9
scalable,10,275,256,197.25,60,complete,wget_10_10_275_pfifo_scalable_b54f80ce,137.25
vegas,10,275,256,177.08,60,complete,wget_10_10_275_pfifo_vegas_a053c8e9,117.08
veno,10,275,256,182.08,60,complete,wget_10_10_275_pfifo_veno_c9a4feb6,122.08
westwood,10,275,256,156.78,60,complete,wget_10_10_275_pfifo_westwood_2f6946f9,96.78
yeah,10,275,256,141.53,60,complete,wget_10_10_275_pfifo_yeah_d3a2853e,81.53
reno,15,85,256,177.01,60,complete,wget_15_15_85_pfifo_reno_481687a2,117.01
cubic,15,85,256,182.0,60,complete,wget_15_15_85_pfifo_cubic_80ad33b7,122.0
bbr,15,85,256,177.02,60,complete,wget_15_15_85_pfifo_bbr_255096c2,117.02
bic,15,85,256,181.94,60,complete,wget_15_15_85_pfifo_bic_5c1f587f,121.94
cdg,15,85,256,166.9,60,complete,wget_15_15_85_pfifo_cdg_11a4904a,106.9
highspeed,15,85,256,192.17,60,complete,wget_15_15_85_pfifo_highspeed_bf9a3115,132.17
htcp,15,85,256,176.9,60,complete,wget_15_15_85_pfifo_htcp_b1f2eef2,116.9
hybla,15,85,256,182.07,60,complete,wget_15_15_85_pfifo_hybla_65213119,122.07
illinois,15,85,256,176.95,60,complete,wget_15_15_85_pfifo_illinois_3e63835e,116.95
nv,15,85,256,182.02,60,complete,wget_15_15_85_pfifo_nv_607f12c5,122.02
scalable,15,85,256,176.91,60,complete,wget_15_15_85_pfifo_scalable_245d6b37,116.91
vegas,15,85,256,181.96,60,complete,wget_15_15_85_pfifo_vegas_f8f4ae83,121.96
veno,15,85,256,177.02,60,complete,wget_15_15_85_pfifo_veno_9aac588e,117.02
westwood,15,85,256,176.95,60,complete,wget_15_15_85_pfifo_westwood_606e8799,116.95
yeah,15,85,256,181.83,60,complete,wget_15_15_85_pfifo_yeah_afb045a4,121.83
reno,15,130,256,176.95,60,complete,wget_15_15_130_pfifo_reno_b5682357,116.95
cubic,15,130,256,182.13,60,complete,wget_15_15_130_pfifo_cubic_997c5ebe,122.13
bbr,15,130,256,177.0,60,complete,wget_15_15_130_pfifo_bbr_93ca8913,117.0
bic,15,130,256,182.12,60,complete,wget_15_15_130_pfifo_bic_9a8795ad,122.12
cdg,15,130,256,161.97,60,complete,wget_15_15_130_pfifo_cdg_4e9a3c21,101.97
highspeed,15,130,256,197.18,60,complete,wget_15_15_130_pfifo_highspeed_976ca752,137.18
htcp,15,130,256,176.99,60,complete,wget_15_15_130_pfifo_htcp_251cdeb3,116.99
hybla,15,130,256,181.97,60,complete,wget_15_15_130_pfifo_hybla_9161bdc9,121.97
illinois,15,130,256,177.09,60,complete,wget_15_15_130_pfifo_illinois_23b73771,117.09
nv,15,130,256,176.95,60,complete,wget_15_15_130_pfifo_nv_4c451b53,116.95
scalable,15,130,256,181.99,60,complete,wget_15_15_130_pfifo_scalable_f43b6cd2,121.99
vegas,15,130,256,182.13,60,complete,wget_15_15_130_pfifo_vegas_cc0da58f,122.13
veno,15,130,256,177.01,60,complete,wget_15_15_130_pfifo_veno_7f675e3e,117.01
westwood,15,130,256,177.08,60,complete,wget_15_15_130_pfifo_westwood_ccaff111,117.08
yeah,15,130,256,182.03,60,complete,wget_15_15_130_pfifo_yeah_22dfedba,122.03
reno,15,275,512,177.03,60,complete,wget_15_15_275_pfifo_reno_1b3108b7,117.03
cubic,15,275,512,176.9,60,complete,wget_15_15_275_pfifo_cubic_3abaac76,116.9
bbr,15,275,512,182.03,60,complete,wget_15_15_275_pfifo_bbr_0eb36129,122.03
bic,15,275,512,176.98,60,complete,wget_15_15_275_pfifo_bic_571f57dc,116.98
cdg,15,275,512,136.52,60,complete,wget_15_15_275_pfifo_cdg_0a875334,76.52
highspeed,15,275,512,161.76,60,complete,wget_15_15_275_pfifo_highspeed_0f55e5fd,101.76
htcp,15,275,512,182.09,60,complete,wget_15_15_275_pfifo_htcp_77fd1a6d,122.09
hybla,15,275,512,177.08,60,complete,wget_15_15_275_pfifo_hybla_526b11f7,117.08
illinois,15,275,512,182.05,60,complete,wget_15_15_275_pfifo_illinois_f2d701de,122.05
nv,15,275,512,151.82,60,complete,wget_15_15_275_pfifo_nv_2f737bc0,91.82
scalable,15,275,512,146.61,60,complete,wget_15_15_275_pfifo_scalable_4528da6e,86.61
vegas,15,275,512,182.02,60,complete,wget_15_15_275_pfifo_vegas_0f96beef,122.02
veno,15,275,512,176.98,60,complete,wget_15_15_275_pfifo_veno_59a990fa,116.98
westwood,15,275,512,177.02,60,complete,wget_15_15_275_pfifo_westwood_ea4b8561,117.02
yeah,15,275,512,182.11,60,complete,wget_15_15_275_pfifo_yeah_a30676f6,122.11
reno,5,275,1024,177.11,60,complete,wget_5_5_275_pfifo_reno_f3600bc3,117.11
cubic,5,275,1024,182.04,60,complete,wget_5_5_275_pfifo_cubic_d6acfa1f,122.04
bbr,5,275,1024,176.95,60,complete,wget_5_5_275_pfifo_bbr_54720862,116.95
bic,5,275,1024,181.99,60,complete,wget_5_5_275_pfifo_bic_0d8d1c4a,121.99
cdg,5,275,1024,146.65,60,complete,wget_5_5_275_pfifo_cdg_4fff8083,86.65
highspeed,5,275,1024,151.64,60,complete,wget_5_5_275_pfifo_highspeed_13d525f7,91.64
htcp,5,275,1024,176.93,60,complete,wget_5_5_275_pfifo_htcp_61980ac4,116.93
hybla,5,275,1024,181.94,60,complete,wget_5_5_275_pfifo_hybla_07c6d081,121.94
illinois,5,275,1024,177.25,60,complete,wget_5_5_275_pfifo_illinois_ead2b381,117.25
nv,5,275,1024,177.08,60,complete,wget_5_5_275_pfifo_nv_dbc4945d,117.08
scalable,5,275,1024,187.03,60,complete,wget_5_5_275_pfifo_scalable_57704c10,127.03
vegas,5,275,1024,177.07,60,complete,wget_5_5_275_pfifo_vegas_0a1d0036,117.07
veno,5,275,1024,182.05,60,complete,wget_5_5_275_pfifo_veno_1e7a0e6f,122.05
westwood,5,275,1024,171.96,60,complete,wget_5_5_275_pfifo_westwood_32a7efb3,111.96
yeah,5,275,1024,187.05,60,complete,wget_5_5_275_pfifo_yeah_cd1d02ae,127.05
